b'Name',b'Creator',b'First public release',b'Latest stable version',b'Latest Release Date',b'Programming language',b'Cost (US$)',b'Software license',b'Open source',b'Cli available',b'Minimum installed size'
b'Notepad++',b'Don Ho',b'2003-11-25',b'7.5.1',b'2017-08-28',b'C++',b'Free',b'GPL',b'Yes',b'',b''
b'Notepad2',b'Florian Balmer',b'2004-04',b'4.2.25',b'2011-05-06',b'C++',b'Free',b'BSD',b'Yes',b'',b''
b'NoteTab',"b'Eric Fookes, Fookes Software'",b'1995',b'7.2',b'2014-11-04',b'Object Pascal (Delphi)',"b'Free, $10 Standard, $20 Pro'",b'Proprietary',b'No',b'',b''
b'nvi',b'Keith Bostic',b'?',b'1.79',b'',b'C',b'Free',b'BSD',b'Yes',b'',b''
b'Peppermint',b'Ioannis Zafeiropoulos',b'2014',b'1.4',b'2014-12-07',"b'Objective-C, JavaScript'",b'$14.99',b'Proprietary',b'No',b'',b''
b'Pico',b'University of Washington',b'1992',b'4.64',b'',b'C',b'Free',b'AL2',b'Yes',b'',b''
b'PolyEdit',b'PolySoft Solutions',b'1998',b'5.4',b'2010-04-07',b'',b'$27.95',b'Shareware',b'No',b'',b''
"b""Programmer's Notepad""",b'Simon Steele',b'1998',b'2.4.2',b'2016-12-02',b'C++',b'Free',b'BSD',b'Yes',b'',b''
b'PSPad',b'Jan Fiala',b'2002',b'4.6.2',b'2017-03-01',b'Object Pascal (Delphi)',b'Free',b'Proprietary',b'No',b'',b''
b'Q10',b'Baara Estudio',b'2007',b'1.2.21',b'2011-06-16',b'\xc2\xa0?',b'Free',b'Proprietary',b'No',b'',b''
b'RJ TextEd',b'Rickard Johansson',b'2004',b'11.22',b'2016-10-04',b'Object Pascal (Delphi)',b'Free',b'Proprietary',b'No',b'',b''
b'RText',b'Fifesoft',b'2003',b'2.6.2',b'2016-09-28',b'Java',b'Free',b'BSD',b'Yes',b'',b''
b'Sam',b'Rob Pike',b'early 1980s',b'stable',b'',b'C',b'Free',b'LPL (OSI approved)',b'Yes',b'',b''
b'SciTE',b'Neil Hodgson',b'1999',b'3.7.5',b'2017-05-26',b'C++',b'$41.99 for macOS. free for others',b'HPND',b'Yes',b'',b''
b'SlickEdit',"b'SlickEdit, Inc.'",b'1988',b'21.0.0',b'2016-10-14',"b'C, Slick-C'",b'$299',b'Proprietary',b'No',b'',b''
b'Smultron',b'Peter Borg',b'2004',b'9.2.3',b'2017-02-20',b'Objective-C',b'$5',b'Proprietary',b'No',b'',b''
b'Source Insight',b'Source Dynamics',b'\xc2\xa0?',b'4.0.0084',b'2017-02-26',b'Source Insight macro language',b'$239-$255',b'Proprietary',b'No',b'',b''
b'SubEthaEdit',b'TheCodingMonkeys',b'2003',b'4.1',b'2015-02-25',b'',b'$35 commercial use',b'Proprietary',b'No',b'',b''
b'Sublime Text',b'Jon Skinner',b'2008',b'3.0 (build 3143)',b'2017-09-13',"b'C++, Objective-C++ (macOS version), Python'",b'$70',b'Proprietary',b'No',b'No',b'21 MB'
b'TED Notepad',b'Juraj Simlovic',b'2001',b'6.1.1',b'2016-12-04',b'C',b'Free',b'Freeware',b'No',b'',b''
b'Textadept',b'Mitchell',b'2007',b'9.5',b'2017-09-01',"b'C, Lua'",b'Free',b'MIT',b'Yes',b'',b''
b'TextEdit',b'Apple Inc.',b'2001',b'1.12',b'2016-08-04',b'',b'Free (also bundled with macOS)',b'New BSD',b'Yes',b'',b''
b'TextMate',b'MacroMates',b'2004-10-10',b'1.5.11',b'2012-07-13',b'Objective-C++',b'$53 (\xe2\x82\xac39)',"b'Proprietary, with MIT components. Version 2 released under GPLv3'",b'Yes (from version 2)',b'',b''
b'TextPad',b'Helios Software Solutions',b'1992',b'8.1.2',b'2017-03-07',b'',b'$30.00 (\xc2\xa316.50)',b'Shareware',b'No',b'',b''
b'TextWrangler',b'Bare Bones Software',b'2003',b'5.5.1',b'2016-07-27',b'',b'Free',b'Proprietary',b'No',b'',b''
b'The SemWare Editor',b'Sammy Mitchell',b'1985-11',b'4.4',b'2005-06-24',"b'C, SAL'",b'$99',b'Proprietary',b'No',b'',b''
b'UltraEdit',b'IDM Computer Solutions',b'1994',b'24.20',b'2017-08-31',b'C++',b'$99.95',b'Proprietary',b'No',b'',b''
b'VEDIT',"b'Ted Green, Greenview Data'",b'1980',b'6.24.2',b'2015-01-12',"b'Assembly, C'","b'$89 standard, $239 Pro64'",b'Proprietary',b'No',b'',b''
b'vi',b'Bill Joy',b'1976',b'3.7',b'',b'C',b'Free',b'BSD or CDDL',b'Yes',b'Yes',b''
b'Vim',b'Bram Moolenaar',b'1991',b'8.0.0960',b'2017-08-19',"b'C, Vim script'",b'Free',b'GPL compatible',b'Yes',b'Yes',b'2.2 MB'
b'Visual Studio Code',b'Microsoft',b'2015',b'1.16.1',b'2017-09-14',"b'JavaScript, C#, C++, JSON, HTML, PHP, Python, Markdown, TypeScript, CSS'",b'Free',b'MIT',b'Yes',b'',b'180-200 MB'
b'XEmacs',b'Lucid Inc.',b'1991',b'21.4.22',b'2009-01-30',"b'C, Emacs Lisp'",b'Free',b'GPL',b'Yes',b'',b''
b'Yi',b'Don Stewart',b'2005',b'0.14',b'2017-07-25',b'Haskell',b'Free',b'GPL',b'Yes',b'',b''
